id,title,source_type,year,intensity,tags,meme_status,license_type,license_url,attribution_required,attribution_text,notes,approved,filename,analysis_descriptor,analysis_vibe,analysis_tags,analysis_primary_note,analysis_tones,analysis_source_file,analysis_intensity
gen-elevenlabs-a-goat-stubs-08,ElevenLabs — A goat stubs,ai_generated,2025,4,ai_generated|generator:elevenlabs|pitch:mid|length:medium|prompt:a|prompt:goat|prompt:stubs,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_goat_stubs_it's_to_#3-1760610684107.mp3,true,11labs_A_goat_stubs_it's_to_#3-1760610684107.mp3,long double-bleat steady wavy scream,dramatic / theatrical,steady|vibrato|double-bleat|wide-range,A#4,G4|G#4|F#4|A4|A#4 (primary),Generated/11labs_A_goat_stubs_it's_to_#3-1760610684107.mp3,4
gen-elevenlabs-a-surprised-baby-37,ElevenLabs — A surprised baby,ai_generated,2025,4,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:surprised|prompt:baby,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_surprised_baby_goa-1760611163736.mp3,true,11labs_A_surprised_baby_goa-1760611163736.mp3,medium-length sustained steady scream,neutral/alert,steady|straight-tone|single-bleat|narrow-range,,,Generated/11labs_A_surprised_baby_goa-1760611163736.mp3,4
gen-elevenlabs-a-surprised-baby-bd,ElevenLabs — A surprised baby,ai_generated,2025,7,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:surprised|prompt:baby,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_surprised_baby_goa_#1-1760611168221.mp3,true,11labs_A_surprised_baby_goa_#1-1760611168221.mp3,medium-length sustained steady wavy scream,dramatic / theatrical,steady|vibrato|single-bleat|wide-range,B4,A#4|B4 (primary)|B3,Generated/11labs_A_surprised_baby_goa_#1-1760611168221.mp3,7
gen-elevenlabs-a-surprised-baby-13,ElevenLabs — A surprised baby,ai_generated,2025,5,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:surprised|prompt:baby,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_surprised_baby_goa_#2-1760611168221.mp3,true,11labs_A_surprised_baby_goa_#2-1760611168221.mp3,medium-length sustained steady scream,neutral/alert,steady|straight-tone|single-bleat|narrow-range,,,Generated/11labs_A_surprised_baby_goa_#2-1760611168221.mp3,5
gen-elevenlabs-a-surprised-baby-ac,ElevenLabs — A surprised baby,ai_generated,2025,3,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:surprised|prompt:baby,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_surprised_baby_goa_#3-1760611168221.mp3,true,11labs_A_surprised_baby_goa_#3-1760611168221.mp3,medium-length double-bleat steady wavy scream,dramatic / theatrical,steady|vibrato|double-bleat|narrow-range,G#4,G#4 (primary)|A4|G4,Generated/11labs_A_surprised_baby_goa_#3-1760611168221.mp3,3
gen-elevenlabs-a-surprised-old-90,ElevenLabs — A surprised old,ai_generated,2025,7,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:surprised|prompt:old,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_surprised_old_grum-1760611644893.mp3,true,11labs_A_surprised_old_grum-1760611644893.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,A4,A5|A3|A4 (primary)|C6|A#4,Generated/11labs_A_surprised_old_grum-1760611644893.mp3,7
gen-elevenlabs-a-surprised-old-9e,ElevenLabs — A surprised old,ai_generated,2025,5,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:surprised|prompt:old,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_surprised_old_grum_#1-1760611642781.mp3,true,11labs_A_surprised_old_grum_#1-1760611642781.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,E4,E4 (primary)|B5|F4|A#5|F#4,Generated/11labs_A_surprised_old_grum_#1-1760611642781.mp3,5
gen-elevenlabs-a-surprised-old-6e,ElevenLabs — A surprised old,ai_generated,2025,6,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:a|prompt:surprised|prompt:old,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_A_surprised_old_grum_#2-1760611640162.mp3,true,11labs_A_surprised_old_grum_#2-1760611640162.mp3,long sustained steady scream,neutral/alert,steady|straight-tone|single-bleat|narrow-range,,,Generated/11labs_A_surprised_old_grum_#2-1760611640162.mp3,6
gen-elevenlabs-goat-screaming-in-29,ElevenLabs — Goat screaming in,ai_generated,2025,3,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:goat|prompt:screaming|prompt:in,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Goat_screaming_in_a__#2-1760610723650.mp3,true,11labs_Goat_screaming_in_a__#2-1760610723650.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,A4,G#5|A5|A#5|A4 (primary)|A3,Generated/11labs_Goat_screaming_in_a__#2-1760610723650.mp3,3
gen-elevenlabs-goat-yells-in-a6,ElevenLabs — Goat yells in,ai_generated,2025,5,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:goat|prompt:yells|prompt:in,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Goat_yells_in_horror-1760610783392.mp3,true,11labs_Goat_yells_in_horror-1760610783392.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,D#5,D#5 (primary)|D5|C#5|C5|B4,Generated/11labs_Goat_yells_in_horror-1760610783392.mp3,5
gen-elevenlabs-goat-yells-in-da,ElevenLabs — Goat yells in,ai_generated,2025,5,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:goat|prompt:yells|prompt:in,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Goat_yells_in_horror-1760610836847.mp3,true,11labs_Goat_yells_in_horror-1760610836847.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,D#5,D#5 (primary)|D#4|D5,Generated/11labs_Goat_yells_in_horror-1760610836847.mp3,5
gen-elevenlabs-goat-yells-in-a9,ElevenLabs — Goat yells in,ai_generated,2025,3,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:goat|prompt:yells|prompt:in,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Goat_yells_in_horror_#1-1760610788410.mp3,true,11labs_Goat_yells_in_horror_#1-1760610788410.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,A#4,G4|G#4|A4|A#4 (primary)|B4,Generated/11labs_Goat_yells_in_horror_#1-1760610788410.mp3,3
gen-elevenlabs-goat-yells-in-df,ElevenLabs — Goat yells in,ai_generated,2025,5,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:goat|prompt:yells|prompt:in,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Goat_yells_in_horror_#1-1760610840693.mp3,true,11labs_Goat_yells_in_horror_#1-1760610840693.mp3,medium-length sustained steady scream,neutral/alert,steady|straight-tone|single-bleat|narrow-range,,,Generated/11labs_Goat_yells_in_horror_#1-1760610840693.mp3,5
gen-elevenlabs-goat-yells-in-04,ElevenLabs — Goat yells in,ai_generated,2025,7,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:goat|prompt:yells|prompt:in,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Goat_yells_in_horror_#2-1760610843520.mp3,true,11labs_Goat_yells_in_horror_#2-1760610843520.mp3,medium-length sustained steady scream,neutral/alert,steady|straight-tone|single-bleat|narrow-range,,,Generated/11labs_Goat_yells_in_horror_#2-1760610843520.mp3,7
gen-elevenlabs-goat-yells-in-9c,ElevenLabs — Goat yells in,ai_generated,2025,7,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:goat|prompt:yells|prompt:in,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Goat_yells_in_horror_#3-1760610847073.mp3,true,11labs_Goat_yells_in_horror_#3-1760610847073.mp3,medium-length sustained steady wavy scream,dramatic / theatrical,steady|vibrato|single-bleat,A#4,G#4|A4|A#4 (primary)|B4,Generated/11labs_Goat_yells_in_horror_#3-1760610847073.mp3,7
gen-elevenlabs-loud-goat-scream-a5,ElevenLabs — Loud goat scream,ai_generated,2025,5,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:loud|prompt:goat|prompt:scream,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Loud_goat_scream.mp3,true,11labs_Loud_goat_scream.mp3,medium-length double-bleat steady wavy scream,dramatic / theatrical,steady|vibrato|double-bleat|narrow-range,D#4,D#4 (primary)|D4,Generated/11labs_Loud_goat_scream.mp3,5
gen-elevenlabs-loud-goat-scream-df,ElevenLabs — Loud goat scream,ai_generated,2025,4,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:loud|prompt:goat|prompt:scream,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Loud_goat_scream_#1-1760610582237.mp3,true,11labs_Loud_goat_scream_#1-1760610582237.mp3,medium-length double-bleat steady wavy scream,dramatic / theatrical,steady|vibrato|double-bleat|narrow-range,G#4,G#4 (primary)|G4|A4,Generated/11labs_Loud_goat_scream_#1-1760610582237.mp3,4
gen-elevenlabs-loud-goat-scream-84,ElevenLabs — Loud goat scream,ai_generated,2025,6,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:loud|prompt:goat|prompt:scream,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_Loud_goat_scream_#2-1760610574390.mp3,true,11labs_Loud_goat_scream_#2-1760610574390.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|narrow-range,C#5,C#5 (primary)|D5|C5,Generated/11labs_Loud_goat_scream_#2-1760610574390.mp3,6
gen-elevenlabs-frightened-goat-scre-79,ElevenLabs — frightened goat scre,ai_generated,2025,5,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:frightened|prompt:goat|prompt:scre,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_frightened_goat_scre_#1-1760610549654.mp3,true,11labs_frightened_goat_scre_#1-1760610549654.mp3,long multi-bleat steady scream,frantic / chattery,steady|straight-tone|multi-bleat,A#4,A#4 (primary)|E4|D#4,Generated/11labs_frightened_goat_scre_#1-1760610549654.mp3,5
gen-elevenlabs-frightened-goat-scre-38,ElevenLabs — frightened goat scre,ai_generated,2025,4,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:frightened|prompt:goat|prompt:scre,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_frightened_goat_scre_#2-1760610555995.mp3,true,11labs_frightened_goat_scre_#2-1760610555995.mp3,long double-bleat steady wavy scream,dramatic / theatrical,steady|vibrato|double-bleat|wide-range,A#5,G#4|B5|A#5 (primary)|B2,Generated/11labs_frightened_goat_scre_#2-1760610555995.mp3,4
gen-elevenlabs-frightened-goat-scre-89,ElevenLabs — frightened goat scre,ai_generated,2025,4,ai_generated|generator:elevenlabs|pitch:mid|length:short|prompt:frightened|prompt:goat|prompt:scre,emerging,generated_ai,https://elevenlabs.io/terms,false,AI-generated with ElevenLabs,AI-generated from filename 11labs_frightened_goat_scre_#3-1760610561436.mp3,true,11labs_frightened_goat_scre_#3-1760610561436.mp3,long multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,D#4,A#5|D#4 (primary)|C#4,Generated/11labs_frightened_goat_scre_#3-1760610561436.mp3,4
gen-unknown-general-mrwewsr4eg-goat-51,AI — general mrwewsr4eg goat,ai_generated,2025,2,ai_generated|generator:unknown|pitch:mid|length:short|prompt:general|prompt:mrwewsr4eg|prompt:goat,emerging,generated_ai,,false,AI-generated,AI-generated from filename general_mrwewsr4eg-goat-sfx-5.mp3,true,general_mrwewsr4eg-goat-sfx-5.mp3,long sustained steady wavy scream,dramatic / theatrical,steady|vibrato|single-bleat,A4,G4|G#4|A4 (primary),Generated/general_mrwewsr4eg-goat-sfx-5.mp3,2
gen-unknown-general-z85shyw4eg-goat-59,AI — general z85shyw4eg goat,ai_generated,2025,3,ai_generated|generator:unknown|pitch:mid|length:medium|prompt:general|prompt:z85shyw4eg|prompt:goat,emerging,generated_ai,,false,AI-generated,AI-generated from filename general_z85shyw4eg-goat-0.mp3,true,general_z85shyw4eg-goat-0.mp3,long sustained steady wavy scream,dramatic / theatrical,steady|vibrato|single-bleat|wide-range,G4,D#4|E5|F#4|G4 (primary)|G#4,Generated/general_z85shyw4eg-goat-0.mp3,3
gen-sora2-goat-scream-mantage-3c,Sora2 — goat scream mantage,ai_generated,2025,3,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-01.mp3,true,sora2_goat_scream_mantage-01.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|narrow-range,G5,G5 (primary)|F5,Generated/sora2_goat_scream_mantage-01.mp3,3
gen-sora2-goat-scream-mantage-69,Sora2 — goat scream mantage,ai_generated,2025,2,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-02.mp3,true,sora2_goat_scream_mantage-02.mp3,medium-length sustained steady scream,neutral/alert,steady|straight-tone|single-bleat|wide-range,E4,E4 (primary)|G5|E5,Generated/sora2_goat_scream_mantage-02.mp3,2
gen-sora2-goat-scream-mantage-f9,Sora2 — goat scream mantage,ai_generated,2025,2,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-03.mp3,true,sora2_goat_scream_mantage-03.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|narrow-range,E4,D#4|E4 (primary),Generated/sora2_goat_scream_mantage-03.mp3,2
gen-sora2-goat-scream-mantage-f2,Sora2 — goat scream mantage,ai_generated,2025,3,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-04.mp3,true,sora2_goat_scream_mantage-04.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|narrow-range,D#5,D#5 (primary)|E5,Generated/sora2_goat_scream_mantage-04.mp3,3
gen-sora2-goat-scream-mantage-50,Sora2 — goat scream mantage,ai_generated,2025,3,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-05.mp3,true,sora2_goat_scream_mantage-05.mp3,medium-length multi-bleat steady scream,frantic / chattery,steady|straight-tone|multi-bleat|narrow-range,D4,D4 (primary),Generated/sora2_goat_scream_mantage-05.mp3,3
gen-sora2-goat-scream-mantage-b9,Sora2 — goat scream mantage,ai_generated,2025,2,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-06.mp3,true,sora2_goat_scream_mantage-06.mp3,medium-length multi-bleat steady scream,frantic / chattery,steady|straight-tone|multi-bleat|narrow-range,E4,E4 (primary)|D#4,Generated/sora2_goat_scream_mantage-06.mp3,2
gen-sora2-goat-scream-mantage-bd,Sora2 — goat scream mantage,ai_generated,2025,2,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-07.mp3,true,sora2_goat_scream_mantage-07.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|narrow-range,G#4,A4|G#4 (primary)|G4,Generated/sora2_goat_scream_mantage-07.mp3,2
gen-sora2-goat-scream-mantage-05,Sora2 — goat scream mantage,ai_generated,2025,3,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-08.mp3,true,sora2_goat_scream_mantage-08.mp3,medium-length multi-bleat steady scream,frantic / chattery,steady|straight-tone|multi-bleat|narrow-range,F#5,F5|F#5 (primary),Generated/sora2_goat_scream_mantage-08.mp3,3
gen-sora2-goat-scream-mantage-9e,Sora2 — goat scream mantage,ai_generated,2025,2,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-09.mp3,true,sora2_goat_scream_mantage-09.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,E5,E5 (primary)|E3,Generated/sora2_goat_scream_mantage-09.mp3,2
gen-sora2-goat-scream-mantage-ff,Sora2 — goat scream mantage,ai_generated,2025,3,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-10.mp3,true,sora2_goat_scream_mantage-10.mp3,medium-length multi-bleat steady scream,frantic / chattery,steady|straight-tone|multi-bleat|narrow-range,C5,C5 (primary)|C#5,Generated/sora2_goat_scream_mantage-10.mp3,3
gen-sora2-goat-scream-mantage-2e,Sora2 — goat scream mantage,ai_generated,2025,3,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-11.mp3,true,sora2_goat_scream_mantage-11.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,C5,E5|F5|F#4|C5 (primary)|B4,Generated/sora2_goat_scream_mantage-11.mp3,3
gen-sora2-goat-scream-mantage-5d,Sora2 — goat scream mantage,ai_generated,2025,2,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-12.mp3,true,sora2_goat_scream_mantage-12.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,E4,E4 (primary)|D#4|F#4|F4|D#6,Generated/sora2_goat_scream_mantage-12.mp3,2
gen-sora2-goat-scream-mantage-59,Sora2 — goat scream mantage,ai_generated,2025,3,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-13.mp3,true,sora2_goat_scream_mantage-13.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F4,E4|F4 (primary)|F#5|G4|F#4,Generated/sora2_goat_scream_mantage-13.mp3,3
gen-sora2-goat-scream-mantage-ad,Sora2 — goat scream mantage,ai_generated,2025,3,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-14.mp3,true,sora2_goat_scream_mantage-14.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,F#5,F#4|G#4|F5|E4|F#5 (primary),Generated/sora2_goat_scream_mantage-14.mp3,3
gen-sora2-goat-scream-mantage-fd,Sora2 — goat scream mantage,ai_generated,2025,2,ai_generated|generator:sora2|pitch:mid|length:short|prompt:goat|prompt:scream|prompt:mantage,emerging,generated_ai,https://openai.com/policies/terms,false,AI-generated with Sora2,AI-generated from filename sora2_goat_scream_mantage-15.mp3,true,sora2_goat_scream_mantage-15.mp3,medium-length multi-bleat steady wavy scream,frantic / chattery,steady|vibrato|multi-bleat|wide-range,D4,G3|C#5|C5|C4|D4 (primary),Generated/sora2_goat_scream_mantage-15.mp3,2
